Jan. 19, 2017   14:05:09
Amperometric i-t Curve
File: c:\users\nanopittet\desktop\transloc\p9aunp.txt
Data Source:  Experiment
Instrument Model:  CHI1030C
Header: 
Note: 

Init E (V) = -6
Sample Interval (s) = 0.002
Run Time (sec) = 300
Quiet Time (sec) = 0
Sensitivity (A/V) = 1e-6


Time/sec, Current/A

1.454e+0, -5.185e-9
1.456e+0, -5.492e-9
1.458e+0, -6.105e-9
1.460e+0, -6.105e-9
1.462e+0, -5.799e-9
1.464e+0, -4.878e-9
1.466e+0, -4.571e-9
1.468e+0, -4.878e-9
1.470e+0, -4.571e-9
1.472e+0, -5.185e-9
1.474e+0, -6.105e-9
1.476e+0, -6.105e-9
1.478e+0, -6.105e-9
1.480e+0, -5.185e-9
1.482e+0, -4.571e-9
1.484e+0, -4.571e-9
1.486e+0, -4.571e-9
1.488e+0, -5.185e-9
1.490e+0, -6.105e-9
1.492e+0, -6.105e-9
1.494e+0, -6.105e-9
1.496e+0, -5.492e-9
1.498e+0, -4.878e-9
1.500e+0, -4.571e-9
1.502e+0, -4.571e-9
1.504e+0, -4.878e-9
1.506e+0, -5.492e-9
1.508e+0, -5.799e-9
1.510e+0, -6.105e-9
1.512e+0, -5.799e-9
1.514e+0, -4.878e-9
1.516e+0, -4.571e-9
1.518e+0, -4.878e-9
1.520e+0, -4.878e-9
1.522e+0, -5.185e-9
1.524e+0, -6.105e-9
1.526e+0, -6.105e-9
1.528e+0, -6.105e-9
1.530e+0, -5.185e-9
1.532e+0, -4.571e-9
1.534e+0, -4.571e-9
1.536e+0, -4.264e-9
1.538e+0, -5.185e-9
1.540e+0, -6.105e-9
1.542e+0, -6.105e-9
1.544e+0, -6.105e-9
1.546e+0, -5.492e-9
1.548e+0, -4.878e-9
1.550e+0, -4.571e-9
1.552e+0, -4.571e-9
1.554e+0, -4.878e-9
1.556e+0, -5.492e-9
1.558e+0, -6.105e-9
1.560e+0, -6.105e-9
1.562e+0, -5.799e-9
1.564e+0, -5.185e-9
1.566e+0, -4.571e-9
1.568e+0, -4.571e-9
1.570e+0, -4.878e-9
1.572e+0, -5.185e-9
1.574e+0, -6.105e-9
1.576e+0, -6.105e-9
1.578e+0, -6.105e-9
1.580e+0, -5.185e-9
1.582e+0, -4.571e-9
1.584e+0, -4.571e-9
1.586e+0, -4.264e-9
1.588e+0, -5.185e-9
1.590e+0, -6.105e-9
1.592e+0, -6.105e-9
1.594e+0, -6.105e-9
1.596e+0, -5.492e-9
1.598e+0, -4.878e-9
1.600e+0, -4.571e-9
1.602e+0, -4.571e-9
1.604e+0, -4.878e-9
1.606e+0, -5.492e-9
1.608e+0, -5.799e-9
1.610e+0, -6.105e-9
1.612e+0, -5.799e-9
1.614e+0, -4.878e-9
1.616e+0, -4.571e-9
1.618e+0, -4.878e-9
1.620e+0, -4.571e-9
1.622e+0, -5.185e-9
1.624e+0, -6.105e-9
1.626e+0, -6.105e-9
